ensembl_id,ambient_label,ambient_risk,treated_as_flagged,symbol
ENSG00000162896,AMBIENT_FLAGGED,0.9584532547675855,True,PIGR
ENSG00000254772,AMBIENT_FLAGGED,0.9989557650723234,True,EEF1G
ENSG00000111057,CURATED_LINEAGE_FOREIGN,,True,KRT18
ENSG00000185499,CURATED_LINEAGE_FOREIGN,,True,MUC1
ENSG00000106541,AMBIENT_FLAGGED,0.9481030960790179,True,AGR2
ENSG00000101443,CURATED_LINEAGE_FOREIGN,,True,WFDC2
ENSG00000171345,CURATED_LINEAGE_FOREIGN,,True,KRT19
ENSG00000157765,AMBIENT_FLAGGED,0.9745105669793526,True,SLC34A2
ENSG00000164265,CURATED_LINEAGE_FOREIGN,,True,SCGB3A2
ENSG00000170421,CURATED_LINEAGE_FOREIGN,,True,KRT8
ENSG00000135480,AMBIENT_FLAGGED,0.9359469755456241,True,KRT7
ENSG00000133639,NOT_FLAGGED,9.074450185780869e-06,False,BTG1
ENSG00000168255,NOT_FLAGGED,0.6499300050859381,False,POLR2J3
ENSG00000206172,CURATED_LINEAGE_FOREIGN,,True,HBA1
ENSG00000110492,AMBIENT_FLAGGED,0.9785314439508138,True,MDK
