ensembl_id,symbol,panel,estimable_donors,d_min,eligible,stratum,controls_status,host
ENSG00000101443,WFDC2,A,6,10,False,,,
ENSG00000106541,AGR2,A,2,10,False,,,
ENSG00000110492,MDK,A,2,10,False,,,
ENSG00000111057,KRT18,A,4,10,False,,,
ENSG00000133639,BTG1,A,43,10,True,A01,not_estimable_control_stratum,thinkstation1
ENSG00000135480,KRT7,A,2,10,False,,,
ENSG00000157765,SLC34A2,A,2,10,False,,,
ENSG00000162896,PIGR,A,1,10,False,,,
ENSG00000164265,SCGB3A2,A,8,10,False,,,
ENSG00000168255,POLR2J3,A,40,10,True,A00,eligible,thinkstation2
ENSG00000170421,KRT8,A,4,10,False,,,
ENSG00000171345,KRT19,A,5,10,False,,,
ENSG00000185499,MUC1,A,4,10,False,,,
ENSG00000206172,HBA1,A,1,10,False,,,
ENSG00000254772,EEF1G,A,8,10,False,,,
ENSG00000013725,CD6,B,38,11,True,B07,eligible,thinkstation1
ENSG00000020633,RUNX3,B,37,11,True,B07,eligible,thinkstation2
ENSG00000030419,IKZF2,B,0,11,False,,,
ENSG00000049768,FOXP3,B,0,11,False,,,
ENSG00000081059,TCF7,B,30,11,True,B04,eligible,thinkstation1
ENSG00000105374,NKG7,B,43,11,True,B12,eligible,thinkstation2
ENSG00000110448,CD5,B,25,11,True,B03,eligible,thinkstation1
ENSG00000110848,CD69,B,43,11,True,B15,eligible,thinkstation2
ENSG00000113088,GZMK,B,43,11,True,B11,eligible,thinkstation1
ENSG00000113263,ITK,B,34,11,True,B04,eligible,thinkstation2
ENSG00000115085,ZAP70,B,37,11,True,B04,eligible,thinkstation1
ENSG00000116824,CD2,B,43,11,True,B15,eligible,thinkstation2
ENSG00000126353,CCR7,B,33,11,True,B04,eligible,thinkstation1
ENSG00000127152,BCL11B,B,38,11,True,B05,eligible,thinkstation2
ENSG00000138795,LEF1,B,21,11,True,B02,eligible,thinkstation1
ENSG00000139193,CD27,B,41,11,True,B07,eligible,thinkstation2
ENSG00000141293,SKAP1,B,40,11,True,B07,eligible,thinkstation1
ENSG00000145649,GZMA,B,43,11,True,B12,eligible,thinkstation2
ENSG00000153563,CD8A,B,39,11,True,B08,eligible,thinkstation1
ENSG00000160654,CD3G,B,43,11,True,B12,eligible,thinkstation2
ENSG00000163599,CTLA4,B,14,11,True,B00,eligible,thinkstation1
ENSG00000163600,ICOS,B,32,11,True,B05,eligible,thinkstation2
ENSG00000167286,CD3D,B,43,11,True,B16,eligible,thinkstation1
ENSG00000168685,IL7R,B,43,11,True,B13,eligible,thinkstation2
ENSG00000172116,CD8B,B,34,11,True,B06,eligible,thinkstation1
ENSG00000172543,CTSW,B,40,11,True,B09,eligible,thinkstation2
ENSG00000172673,THEMIS,B,27,11,True,B03,eligible,thinkstation1
ENSG00000173762,CD7,B,43,11,True,B12,eligible,thinkstation2
ENSG00000178562,CD28,B,18,11,True,B02,eligible,thinkstation1
ENSG00000180644,PRF1,B,38,11,True,B06,eligible,thinkstation2
ENSG00000182866,LCK,B,43,11,True,B12,eligible,thinkstation1
ENSG00000188389,PDCD1,B,13,11,True,B01,eligible,thinkstation2
ENSG00000188404,SELL,B,26,11,True,B04,eligible,thinkstation1
ENSG00000198821,CD247,B,43,11,True,B09,eligible,thinkstation2
ENSG00000198851,CD3E,B,43,11,True,B14,eligible,thinkstation1
ENSG00000213658,LAT,B,43,11,True,B10,eligible,thinkstation2
