ensembl_id,host
ENSG00000133639,thinkstation1
ENSG00000168255,thinkstation2
ENSG00000013725,thinkstation1
ENSG00000020633,thinkstation2
ENSG00000081059,thinkstation1
ENSG00000105374,thinkstation2
ENSG00000110448,thinkstation1
ENSG00000110848,thinkstation2
ENSG00000113088,thinkstation1
ENSG00000113263,thinkstation2
ENSG00000115085,thinkstation1
ENSG00000116824,thinkstation2
ENSG00000126353,thinkstation1
ENSG00000127152,thinkstation2
ENSG00000138795,thinkstation1
ENSG00000139193,thinkstation2
ENSG00000141293,thinkstation1
ENSG00000145649,thinkstation2
ENSG00000153563,thinkstation1
ENSG00000160654,thinkstation2
ENSG00000163599,thinkstation1
ENSG00000163600,thinkstation2
ENSG00000167286,thinkstation1
ENSG00000168685,thinkstation2
ENSG00000172116,thinkstation1
ENSG00000172543,thinkstation2
ENSG00000172673,thinkstation1
ENSG00000173762,thinkstation2
ENSG00000178562,thinkstation1
ENSG00000180644,thinkstation2
ENSG00000182866,thinkstation1
ENSG00000188389,thinkstation2
ENSG00000188404,thinkstation1
ENSG00000198821,thinkstation2
ENSG00000198851,thinkstation1
ENSG00000213658,thinkstation2
ENSG00000062716,thinkstation1
ENSG00000087088,thinkstation2
ENSG00000087191,thinkstation1
ENSG00000090273,thinkstation2
ENSG00000099797,thinkstation1
ENSG00000104518,thinkstation2
ENSG00000105323,thinkstation1
ENSG00000111276,thinkstation2
ENSG00000111371,thinkstation1
ENSG00000116489,thinkstation2
ENSG00000139725,thinkstation1
ENSG00000140740,thinkstation2
ENSG00000146425,thinkstation1
ENSG00000158985,thinkstation2
ENSG00000168002,thinkstation1
ENSG00000168003,thinkstation2
ENSG00000197622,thinkstation1
ENSG00000231925,thinkstation2
ENSG00000239713,thinkstation1
ENSG00000257103,thinkstation2
ENSG00000078369,thinkstation1
ENSG00000089012,thinkstation2
ENSG00000104870,thinkstation1
ENSG00000115464,thinkstation2
ENSG00000117090,thinkstation1
ENSG00000120071,thinkstation2
ENSG00000122188,thinkstation1
ENSG00000123106,thinkstation2
ENSG00000133106,thinkstation1
ENSG00000133318,thinkstation2
ENSG00000133561,thinkstation1
ENSG00000154451,thinkstation2
ENSG00000164483,thinkstation1
ENSG00000165949,thinkstation2
ENSG00000167895,thinkstation1
ENSG00000169583,thinkstation2
ENSG00000177565,thinkstation1
ENSG00000185658,thinkstation2
ENSG00000198846,thinkstation1
ENSG00000263001,thinkstation2
ENSG00000047849,thinkstation1
ENSG00000078687,thinkstation2
ENSG00000096996,thinkstation1
ENSG00000101096,thinkstation2
ENSG00000104419,thinkstation1
ENSG00000106829,thinkstation2
ENSG00000108639,thinkstation1
ENSG00000112378,thinkstation2
ENSG00000114423,thinkstation1
ENSG00000115758,thinkstation2
ENSG00000123338,thinkstation1
ENSG00000132670,thinkstation2
ENSG00000143878,thinkstation1
ENSG00000159216,thinkstation2
ENSG00000159335,thinkstation1
ENSG00000163513,thinkstation2
ENSG00000164190,thinkstation1
ENSG00000165071,thinkstation2
ENSG00000186891,thinkstation1
ENSG00000075292,thinkstation1
ENSG00000100385,thinkstation2
ENSG00000114541,thinkstation1
ENSG00000115419,thinkstation2
ENSG00000117632,thinkstation1
ENSG00000118515,thinkstation2
ENSG00000132530,thinkstation1
ENSG00000143110,thinkstation2
ENSG00000151702,thinkstation1
ENSG00000154217,thinkstation2
ENSG00000163931,thinkstation1
ENSG00000171735,thinkstation2
ENSG00000171843,thinkstation1
ENSG00000175130,thinkstation2
ENSG00000198589,thinkstation1
ENSG00000078589,thinkstation1
ENSG00000091039,thinkstation2
ENSG00000102575,thinkstation1
ENSG00000109321,thinkstation2
ENSG00000111537,thinkstation1
ENSG00000115760,thinkstation2
ENSG00000116539,thinkstation1
ENSG00000121858,thinkstation2
ENSG00000129003,thinkstation1
ENSG00000139626,thinkstation2
ENSG00000143185,thinkstation1
ENSG00000148700,thinkstation2
ENSG00000174373,thinkstation1
ENSG00000186566,thinkstation2
ENSG00000230989,thinkstation1
ENSG00000027869,thinkstation1
ENSG00000103490,thinkstation2
ENSG00000108953,thinkstation1
ENSG00000115523,thinkstation2
ENSG00000135821,thinkstation1
ENSG00000136286,thinkstation2
ENSG00000137309,thinkstation1
ENSG00000152495,thinkstation2
ENSG00000158517,thinkstation1
ENSG00000164687,thinkstation2
ENSG00000164733,thinkstation1
ENSG00000169554,thinkstation2
ENSG00000172216,thinkstation1
ENSG00000180448,thinkstation2
ENSG00000182670,thinkstation1
ENSG00000197061,thinkstation2
ENSG00000198771,thinkstation1
ENSG00000042753,thinkstation1
ENSG00000057608,thinkstation2
ENSG00000109046,thinkstation1
ENSG00000110324,thinkstation2
ENSG00000110934,thinkstation1
ENSG00000111913,thinkstation2
ENSG00000122705,thinkstation1
ENSG00000127022,thinkstation2
ENSG00000130313,thinkstation1
ENSG00000131507,thinkstation2
ENSG00000141480,thinkstation1
ENSG00000143621,thinkstation2
ENSG00000144381,thinkstation1
ENSG00000164691,thinkstation2
ENSG00000173486,thinkstation1
ENSG00000175756,thinkstation2
ENSG00000180817,thinkstation1
ENSG00000198832,thinkstation2
ENSG00000005810,thinkstation1
ENSG00000027075,thinkstation2
ENSG00000070961,thinkstation1
ENSG00000088832,thinkstation2
ENSG00000099860,thinkstation1
ENSG00000107738,thinkstation2
ENSG00000114861,thinkstation1
ENSG00000127528,thinkstation2
ENSG00000127603,thinkstation1
ENSG00000130208,thinkstation2
ENSG00000142347,thinkstation1
ENSG00000145287,thinkstation2
ENSG00000165272,thinkstation1
ENSG00000185811,thinkstation2
ENSG00000187193,thinkstation1
ENSG00000277632,thinkstation2
ENSG00000021355,thinkstation1
ENSG00000064666,thinkstation2
ENSG00000096060,thinkstation1
ENSG00000110955,thinkstation2
ENSG00000112335,thinkstation1
ENSG00000117592,thinkstation2
ENSG00000123146,thinkstation1
ENSG00000141552,thinkstation2
ENSG00000151366,thinkstation1
ENSG00000163564,thinkstation2
ENSG00000165629,thinkstation1
ENSG00000167460,thinkstation2
ENSG00000167815,thinkstation1
ENSG00000175567,thinkstation2
ENSG00000183508,thinkstation1
ENSG00000183918,thinkstation2
ENSG00000184557,thinkstation1
ENSG00000197971,thinkstation2
ENSG00000105404,thinkstation1
ENSG00000109861,thinkstation2
ENSG00000113712,thinkstation1
ENSG00000114857,thinkstation2
ENSG00000115524,thinkstation1
ENSG00000116030,thinkstation2
ENSG00000116560,thinkstation1
ENSG00000126860,thinkstation2
ENSG00000134308,thinkstation1
ENSG00000147548,thinkstation2
ENSG00000160014,thinkstation1
ENSG00000162191,thinkstation2
ENSG00000163584,thinkstation1
ENSG00000163660,thinkstation2
ENSG00000165637,thinkstation1
ENSG00000183648,thinkstation2
ENSG00000184840,thinkstation1
ENSG00000196776,thinkstation2
ENSG00000215845,thinkstation1
ENSG00000075884,thinkstation1
ENSG00000100453,thinkstation2
ENSG00000102265,thinkstation1
ENSG00000115053,thinkstation2
ENSG00000134954,thinkstation1
ENSG00000152082,thinkstation2
ENSG00000153187,thinkstation1
ENSG00000154723,thinkstation2
ENSG00000166598,thinkstation1
ENSG00000169020,thinkstation2
ENSG00000179344,thinkstation1
ENSG00000180353,thinkstation2
ENSG00000182117,thinkstation1
ENSG00000182718,thinkstation2
ENSG00000185650,thinkstation1
ENSG00000189067,thinkstation2
ENSG00000240972,thinkstation1
ENSG00000054654,thinkstation1
ENSG00000063046,thinkstation2
ENSG00000069275,thinkstation1
ENSG00000076662,thinkstation2
ENSG00000090266,thinkstation1
ENSG00000100219,thinkstation2
ENSG00000100300,thinkstation1
ENSG00000117450,thinkstation2
ENSG00000125356,thinkstation1
ENSG00000137575,thinkstation2
ENSG00000143870,thinkstation1
ENSG00000147684,thinkstation2
ENSG00000152601,thinkstation1
ENSG00000155368,thinkstation2
ENSG00000174021,thinkstation1
ENSG00000184007,thinkstation2
ENSG00000184076,thinkstation1
ENSG00000042493,thinkstation1
ENSG00000067066,thinkstation2
ENSG00000079246,thinkstation1
ENSG00000092820,thinkstation2
ENSG00000100664,thinkstation1
ENSG00000101596,thinkstation2
ENSG00000105939,thinkstation1
ENSG00000115944,thinkstation2
ENSG00000117523,thinkstation1
ENSG00000126777,thinkstation2
ENSG00000130770,thinkstation1
ENSG00000139278,thinkstation2
ENSG00000141522,thinkstation1
ENSG00000167863,thinkstation2
ENSG00000170515,thinkstation1
ENSG00000185088,thinkstation2
ENSG00000235162,thinkstation1
ENSG00000002586,thinkstation1
ENSG00000067560,thinkstation2
ENSG00000077984,thinkstation1
ENSG00000088986,thinkstation2
ENSG00000101182,thinkstation1
ENSG00000118640,thinkstation2
ENSG00000128340,thinkstation1
ENSG00000131174,thinkstation2
ENSG00000132341,thinkstation1
ENSG00000135940,thinkstation2
ENSG00000136490,thinkstation1
ENSG00000136810,thinkstation2
ENSG00000149925,thinkstation1
ENSG00000164032,thinkstation2
ENSG00000165119,thinkstation1
ENSG00000167468,thinkstation2
ENSG00000198258,thinkstation1
ENSG00000198830,thinkstation2
ENSG00000205581,thinkstation1
ENSG00000102144,thinkstation1
ENSG00000102317,thinkstation2
ENSG00000102879,thinkstation1
ENSG00000106803,thinkstation2
ENSG00000109332,thinkstation1
ENSG00000111716,thinkstation2
ENSG00000112081,thinkstation1
ENSG00000117091,thinkstation2
ENSG00000136888,thinkstation1
ENSG00000147677,thinkstation2
ENSG00000160932,thinkstation1
ENSG00000163466,thinkstation2
ENSG00000177606,thinkstation1
ENSG00000187109,thinkstation2
ENSG00000188243,thinkstation1
ENSG00000213654,thinkstation2
ENSG00000241343,thinkstation1
ENSG00000051523,thinkstation1
ENSG00000082074,thinkstation2
ENSG00000100097,thinkstation1
ENSG00000103363,thinkstation2
ENSG00000111775,thinkstation1
ENSG00000112695,thinkstation2
ENSG00000114942,thinkstation1
ENSG00000126267,thinkstation2
ENSG00000131143,thinkstation1
ENSG00000140319,thinkstation2
ENSG00000142227,thinkstation1
ENSG00000164919,thinkstation2
ENSG00000167658,thinkstation1
ENSG00000189043,thinkstation2
ENSG00000197956,thinkstation1
ENSG00000223865,thinkstation2
ENSG00000100906,thinkstation1
ENSG00000105372,thinkstation2
ENSG00000118181,thinkstation1
ENSG00000120129,thinkstation2
ENSG00000131469,thinkstation1
ENSG00000134419,thinkstation2
ENSG00000137154,thinkstation1
ENSG00000140988,thinkstation2
ENSG00000142669,thinkstation1
ENSG00000147403,thinkstation2
ENSG00000149273,thinkstation1
ENSG00000156508,thinkstation2
ENSG00000163682,thinkstation1
ENSG00000164587,thinkstation2
ENSG00000196405,thinkstation1
ENSG00000213741,thinkstation2
ENSG00000231500,thinkstation1
