timestamp, name, driver_version, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/09/25 02:26:18.082, NVIDIA GB10, 595.84, 0 %, [N/A], 5.04 W
2026/09/25 02:27:18.093, NVIDIA GB10, 595.84, 96 %, [N/A], 57.09 W
2026/09/25 02:28:18.094, NVIDIA GB10, 595.84, 96 %, [N/A], 54.18 W
2026/09/25 02:29:18.096, NVIDIA GB10, 595.84, 96 %, [N/A], 59.25 W
2026/09/25 02:30:18.098, NVIDIA GB10, 595.84, 96 %, [N/A], 60.24 W
2026/09/25 02:31:18.099, NVIDIA GB10, 595.84, 96 %, [N/A], 61.40 W
2026/09/25 02:32:18.100, NVIDIA GB10, 595.84, 96 %, [N/A], 61.10 W
2026/09/25 02:33:18.101, NVIDIA GB10, 595.84, 96 %, [N/A], 60.70 W
2026/09/25 02:34:18.102, NVIDIA GB10, 595.84, 95 %, [N/A], 56.54 W
2026/09/25 02:35:18.103, NVIDIA GB10, 595.84, 95 %, [N/A], 57.58 W
2026/09/25 02:36:18.104, NVIDIA GB10, 595.84, 96 %, [N/A], 56.05 W
2026/09/25 02:37:18.106, NVIDIA GB10, 595.84, 95 %, [N/A], 56.79 W
2026/09/25 02:38:18.107, NVIDIA GB10, 595.84, 95 %, [N/A], 58.53 W
2026/09/25 02:39:18.108, NVIDIA GB10, 595.84, 96 %, [N/A], 58.69 W
2026/09/25 02:40:18.110, NVIDIA GB10, 595.84, 96 %, [N/A], 61.66 W
2026/09/25 02:41:18.112, NVIDIA GB10, 595.84, 95 %, [N/A], 57.36 W
2026/09/25 02:42:18.114, NVIDIA GB10, 595.84, 96 %, [N/A], 61.70 W
2026/09/25 02:43:18.114, NVIDIA GB10, 595.84, 96 %, [N/A], 56.71 W
2026/09/25 02:44:18.116, NVIDIA GB10, 595.84, 96 %, [N/A], 59.78 W
2026/09/25 02:45:18.118, NVIDIA GB10, 595.84, 96 %, [N/A], 61.96 W
2026/09/25 02:46:18.120, NVIDIA GB10, 595.84, 96 %, [N/A], 59.41 W
2026/09/25 02:47:18.122, NVIDIA GB10, 595.84, 96 %, [N/A], 57.80 W
2026/09/25 02:48:18.124, NVIDIA GB10, 595.84, 96 %, [N/A], 60.12 W
2026/09/25 02:49:18.125, NVIDIA GB10, 595.84, 96 %, [N/A], 60.02 W
2026/09/25 02:50:18.128, NVIDIA GB10, 595.84, 96 %, [N/A], 59.57 W
2026/09/25 02:51:18.130, NVIDIA GB10, 595.84, 96 %, [N/A], 60.33 W
2026/09/25 02:52:18.131, NVIDIA GB10, 595.84, 95 %, [N/A], 56.95 W
2026/09/25 02:53:18.132, NVIDIA GB10, 595.84, 94 %, [N/A], 56.48 W
2026/09/25 02:54:18.132, NVIDIA GB10, 595.84, 96 %, [N/A], 60.12 W
2026/09/25 02:55:18.130, NVIDIA GB10, 595.84, 95 %, [N/A], 59.01 W
2026/09/25 02:56:18.128, NVIDIA GB10, 595.84, 96 %, [N/A], 72.36 W
2026/09/25 02:57:18.129, NVIDIA GB10, 595.84, 3 %, [N/A], 15.47 W
2026/09/25 02:58:18.127, NVIDIA GB10, 595.84, 79 %, [N/A], 70.38 W
2026/09/25 02:59:18.126, NVIDIA GB10, 595.84, 96 %, [N/A], 70.91 W
2026/09/25 03:00:18.126, NVIDIA GB10, 595.84, 96 %, [N/A], 91.47 W
2026/09/25 03:01:18.125, NVIDIA GB10, 595.84, 96 %, [N/A], 89.38 W
2026/09/25 03:02:18.125, NVIDIA GB10, 595.84, 96 %, [N/A], 88.67 W
2026/09/25 03:03:18.124, NVIDIA GB10, 595.84, 76 %, [N/A], 87.45 W
2026/09/25 03:04:18.123, NVIDIA GB10, 595.84, 95 %, [N/A], 56.58 W
2026/09/25 03:05:18.124, NVIDIA GB10, 595.84, 96 %, [N/A], 58.92 W
2026/09/25 03:06:18.125, NVIDIA GB10, 595.84, 96 %, [N/A], 63.47 W
2026/09/25 03:07:18.125, NVIDIA GB10, 595.84, 96 %, [N/A], 56.23 W
2026/09/25 03:08:18.125, NVIDIA GB10, 595.84, 95 %, [N/A], 57.93 W
2026/09/25 03:09:18.126, NVIDIA GB10, 595.84, 96 %, [N/A], 59.70 W
2026/09/25 03:10:18.126, NVIDIA GB10, 595.84, 95 %, [N/A], 58.83 W
2026/09/25 03:11:18.126, NVIDIA GB10, 595.84, 96 %, [N/A], 59.98 W
2026/09/25 03:12:18.126, NVIDIA GB10, 595.84, 96 %, [N/A], 62.58 W
2026/09/25 03:13:18.128, NVIDIA GB10, 595.84, 96 %, [N/A], 58.47 W
2026/09/25 03:14:18.128, NVIDIA GB10, 595.84, 96 %, [N/A], 54.49 W
2026/09/25 03:15:18.129, NVIDIA GB10, 595.84, 96 %, [N/A], 58.88 W
2026/09/25 03:16:18.130, NVIDIA GB10, 595.84, 95 %, [N/A], 56.95 W
2026/09/25 03:17:18.130, NVIDIA GB10, 595.84, 95 %, [N/A], 55.13 W
2026/09/25 03:18:18.131, NVIDIA GB10, 595.84, 96 %, [N/A], 54.84 W
2026/09/25 03:19:18.132, NVIDIA GB10, 595.84, 96 %, [N/A], 61.76 W
2026/09/25 03:20:18.133, NVIDIA GB10, 595.84, 96 %, [N/A], 59.17 W
2026/09/25 03:21:18.134, NVIDIA GB10, 595.84, 96 %, [N/A], 58.96 W
2026/09/25 03:22:18.136, NVIDIA GB10, 595.84, 95 %, [N/A], 56.54 W
2026/09/25 03:23:18.136, NVIDIA GB10, 595.84, 95 %, [N/A], 59.08 W
2026/09/25 03:24:18.137, NVIDIA GB10, 595.84, 96 %, [N/A], 55.62 W
2026/09/25 03:25:18.137, NVIDIA GB10, 595.84, 96 %, [N/A], 55.26 W
2026/09/25 03:26:18.139, NVIDIA GB10, 595.84, 96 %, [N/A], 58.55 W
2026/09/25 03:27:18.139, NVIDIA GB10, 595.84, 96 %, [N/A], 57.70 W
2026/09/25 03:28:18.139, NVIDIA GB10, 595.84, 96 %, [N/A], 59.77 W
2026/09/25 03:29:18.137, NVIDIA GB10, 595.84, 96 %, [N/A], 57.49 W
2026/09/25 03:30:18.136, NVIDIA GB10, 595.84, 96 %, [N/A], 57.60 W
2026/09/25 03:31:18.134, NVIDIA GB10, 595.84, 96 %, [N/A], 54.44 W
2026/09/25 03:32:18.134, NVIDIA GB10, 595.84, 95 %, [N/A], 57.71 W
2026/09/25 03:33:18.133, NVIDIA GB10, 595.84, 95 %, [N/A], 70.33 W
2026/09/25 03:34:18.133, NVIDIA GB10, 595.84, 3 %, [N/A], 14.82 W
2026/09/25 03:35:18.132, NVIDIA GB10, 595.84, 96 %, [N/A], 76.12 W
2026/09/25 03:36:18.133, NVIDIA GB10, 595.84, 96 %, [N/A], 76.54 W
2026/09/25 03:37:18.133, NVIDIA GB10, 595.84, 1 %, [N/A], 15.48 W
2026/09/25 03:38:18.132, NVIDIA GB10, 595.84, 96 %, [N/A], 90.09 W
2026/09/25 03:39:18.132, NVIDIA GB10, 595.84, 96 %, [N/A], 89.77 W
2026/09/25 03:40:18.132, NVIDIA GB10, 595.84, 96 %, [N/A], 91.13 W
2026/09/25 03:41:18.131, NVIDIA GB10, 595.84, 96 %, [N/A], 88.45 W
2026/09/25 03:42:18.131, NVIDIA GB10, 595.84, 96 %, [N/A], 89.54 W
2026/09/25 03:43:18.131, NVIDIA GB10, 595.84, 96 %, [N/A], 58.19 W
2026/09/25 03:44:18.131, NVIDIA GB10, 595.84, 94 %, [N/A], 53.62 W
2026/09/25 03:45:18.131, NVIDIA GB10, 595.84, 95 %, [N/A], 56.72 W
