study,donor_id,n_t,n_n,assays_t,assays_n
He_Fan_2021,He_Fan_2021_P1,1379,2194,10x 3' v2,10x 3' v2
He_Fan_2021,He_Fan_2021_P2,2662,1829,10x 3' v2,10x 3' v2
He_Fan_2021,He_Fan_2021_P3,1195,2049,10x 3' v2,10x 3' v2
He_Fan_2021,He_Fan_2021_P4,1096,1727,10x 3' v2,10x 3' v2
He_Fan_2021,He_Fan_2021_P5,2963,2191,10x 3' v2,10x 3' v2
Kim_Lee_2020,Kim_Lee_2020_P0006,1240,995,10x 3' v2,10x 3' v2
Kim_Lee_2020,Kim_Lee_2020_P0008,1480,600,10x 3' v2,10x 3' v2
Kim_Lee_2020,Kim_Lee_2020_P0009,1562,443,10x 3' v2,10x 3' v2
Kim_Lee_2020,Kim_Lee_2020_P0018,732,1163,10x 3' v2,10x 3' v2
Kim_Lee_2020,Kim_Lee_2020_P0019,1193,719,10x 3' v2,10x 3' v2
Kim_Lee_2020,Kim_Lee_2020_P0020,1683,817,10x 3' v2,10x 3' v2
Kim_Lee_2020,Kim_Lee_2020_P0028,1208,1350,10x 3' v2,10x 3' v2
Kim_Lee_2020,Kim_Lee_2020_P0030,983,1276,10x 3' v2,10x 3' v2
Kim_Lee_2020,Kim_Lee_2020_P0031,2649,510,10x 3' v2,10x 3' v2
Kim_Lee_2020,Kim_Lee_2020_P0034,263,892,10x 3' v2,10x 3' v2
Lambrechts_Thienpont_2018,Lambrechts_Thienpont_2018_6149v2_3,2855,1287,10x 3' v2,10x 3' v2
Lambrechts_Thienpont_2018,Lambrechts_Thienpont_2018_6149v2_4,5490,955,10x 3' v2,10x 3' v2
Lambrechts_Thienpont_2018,Lambrechts_Thienpont_2018_6653_6,2238,345,10x 3' v2,10x 3' v2
Laughney_Massague_2020,Laughney_Massague_2020_LX675,540,392,10x 3' v2,10x 3' v2
Laughney_Massague_2020,Laughney_Massague_2020_LX682,1319,774,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_370,668,1351,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_371,859,1020,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_378,1666,594,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_403,237,1016,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_406,826,606,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_408,904,393,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_410,879,1134,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_458,468,378,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_460,468,634,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_514,895,907,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_532,844,820,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_564,1292,1147,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_569,1238,1126,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_570,844,1465,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_572,1539,984,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_578,1729,1389,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_581,1639,1710,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_593,416,3541,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_596,2789,3079,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_626,3306,2848,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_630,2527,2569,10x 3' v2,10x 3' v2
Leader_Merad_2021,Leader_Merad_2021_695,6764,10384,10x 3' v2;10x 5' v1,10x 3' v2;10x 5' v1
Leader_Merad_2021,Leader_Merad_2021_729,2062,1427,10x 3' v2,10x 3' v2
